Cliente,Marca1,Marca2,Marca3,Marca_Inno1,Marca_Inno2
10,0,0,1,0,0
12,0,0,1,0,0
14,0,0,1,0,0
15,0,0,1,0,0
18,0,0,0,0,0
24,0,0,1,0,0
26,0,0,1,0,0
33,0,0,1,0,0
35,0,0,1,0,0
40,0,0,0,0,0
48,0,0,1,0,0
54,0,0,1,0,0
57,0,0,1,0,0
58,0,0,1,0,0
63,0,0,1,0,0
77,0,0,1,0,0
78,0,0,1,0,0
89,0,0,1,0,0
103,0,0,1,0,0
112,0,0,1,0,0
113,0,0,0,0,0
130,0,0,1,0,0
135,0,0,1,0,0
136,0,0,1,0,0
150,0,0,1,0,0
171,0,0,1,0,0
173,0,0,1,0,0
177,0,0,1,0,0
183,0,0,1,0,0
185,0,0,1,0,0
199,0,0,0,0,0
206,0,0,1,0,0
210,0,0,1,0,0
212,0,0,1,0,0
216,0,0,1,0,0
217,0,0,1,0,0
230,0,0,1,0,0
231,0,0,1,0,0
233,0,0,0,0,0
235,0,0,1,0,0
237,0,0,1,0,0
241,0,0,1,0,0
242,0,0,1,0,0
245,0,0,1,0,0
255,0,0,1,0,0
258,0,0,1,0,0
259,0,0,1,0,0
263,0,0,1,0,0
265,0,0,1,0,0
267,0,0,1,0,0
274,0,0,1,0,0
276,0,0,1,0,0
277,0,1,0,0,0
279,0,0,1,0,0
280,0,0,1,0,0
281,0,1,0,0,0
283,0,0,1,0,0
287,0,0,1,0,0
288,0,0,1,0,0
300,0,0,1,0,0
305,0,0,1,0,0
313,0,0,1,0,0
315,0,0,1,0,0
321,0,0,1,0,0
324,0,0,1,0,0
329,0,0,1,0,0
333,0,0,1,0,0
334,0,0,1,0,0
336,0,0,1,0,0
339,0,0,1,0,0
343,0,0,1,0,0
348,0,0,1,0,0
351,0,0,1,0,0
352,0,0,1,0,0
354,0,0,1,0,0
355,0,0,1,0,0
359,0,0,1,0,0
360,0,0,1,0,0
365,0,0,1,0,0
370,0,0,1,0,0
372,0,0,1,0,0
374,0,0,1,0,0
377,0,0,1,0,0
381,0,0,0,0,0
385,0,0,1,0,0
397,0,0,1,0,0
399,0,0,1,0,0
405,0,0,1,0,0
411,0,0,1,0,0
417,0,0,1,0,0
418,0,0,1,0,0
419,0,0,1,0,0
421,0,0,1,0,0
431,0,0,1,0,0
435,0,1,0,0,0
438,0,0,1,0,0
439,0,0,1,0,0
443,0,0,1,0,0
446,0,0,1,0,0
447,0,0,1,0,0
464,0,0,1,0,0
465,0,0,1,0,0
468,0,0,1,0,0
472,0,0,1,0,0
475,0,0,1,0,0
480,0,1,0,0,0
488,0,0,1,0,0
492,0,0,1,0,0
499,0,0,1,0,0
501,0,0,1,0,0
504,0,0,1,0,0
507,0,0,1,0,0
508,0,0,1,0,0
509,0,0,1,0,0
516,0,1,0,0,0
521,0,0,1,0,0
526,0,0,1,0,0
532,0,0,1,0,0
538,0,0,1,0,0
563,0,0,0,0,0
567,0,0,0,0,0
570,0,0,1,0,0
571,0,0,1,0,0
574,0,0,1,0,0
591,0,0,1,0,0
593,0,0,1,0,0
596,0,0,1,0,0
598,0,0,1,0,0
605,0,0,1,0,0
614,0,0,1,0,0
636,0,0,1,0,0
642,0,0,1,0,0
649,0,0,1,0,0
654,0,0,1,0,0
655,0,0,1,0,0
657,0,0,1,0,0
663,0,0,1,0,0
665,0,0,1,0,0
677,0,0,1,0,0
683,0,0,1,0,0
692,0,0,0,0,0
694,0,0,0,0,0
695,0,0,0,0,0
696,0,0,0,0,0
705,0,0,1,0,0
716,0,0,1,0,0
